restaurant_id,orders,customers,gmv,avg_order_value,avg_rating,avg_delivery_time
R0001,41,41,20592.0,502.2439024390244,4.2926829268292686,37.48780487804878
R0002,39,39,20575.0,527.5641025641025,3.920512820512821,37.23076923076923
R0003,47,47,22915.0,487.5531914893617,4.180851063829787,34.234042553191486
R0004,40,40,22648.0,566.2,3.7725,37.25
R0005,56,55,30961.0,552.875,4.621428571428572,36.285714285714285
R0006,50,50,27633.0,552.66,4.578,38.56
R0007,47,47,23523.0,500.48936170212767,4.229787234042552,35.87234042553192
R0008,41,41,21589.0,526.560975609756,3.8073170731707315,38.21951219512195
R0009,45,45,23765.0,528.1111111111111,4.071111111111111,35.333333333333336
R0010,53,53,27356.0,516.1509433962265,4.064150943396227,36.339622641509436
R0011,36,36,18769.0,521.3611111111111,4.344444444444445,37.388888888888886
R0012,36,36,19351.0,537.5277777777778,3.744444444444445,36.083333333333336
R0013,50,50,26399.0,527.98,3.924,35.92
R0014,42,42,21843.0,520.0714285714286,4.5,35.166666666666664
R0015,35,35,18403.0,525.8,4.28,37.2
R0016,48,47,25706.0,535.5416666666666,4.016666666666667,38.5625
R0017,51,51,24452.0,479.45098039215685,4.292156862745098,37.76470588235294
R0018,54,53,27710.0,513.1481481481482,4.388888888888889,33.870370370370374
R0019,36,35,20731.0,575.8611111111111,3.7083333333333335,39.166666666666664
R0020,46,46,25131.0,546.3260869565217,3.882608695652174,37.15217391304348
R0021,36,35,17192.0,477.55555555555554,4.397222222222222,36.361111111111114
R0022,50,50,24986.0,499.72,3.6860000000000004,36.56
R0023,53,53,24542.0,463.0566037735849,4.0452830188679245,35.56603773584906
R0024,44,43,23112.0,525.2727272727273,4.418181818181818,36.59090909090909
R0025,39,39,19684.0,504.71794871794873,4.230769230769231,33.23076923076923
R0026,52,51,25948.0,499.0,3.480769230769231,36.13461538461539
R0027,45,45,24227.0,538.3777777777777,3.7555555555555555,36.37777777777778
R0028,46,45,23572.0,512.4347826086956,4.230434782608696,36.19565217391305
R0029,50,50,26813.0,536.26,3.818,35.68
R0030,54,54,27204.0,503.77777777777777,4.270370370370371,34.98148148148148
R0031,42,42,22423.0,533.8809523809524,4.461904761904762,38.54761904761905
